Baader SLOAN/SDSS r' Filter,
λ (nm),OD
200,7.404829948
201,6.487751797
202,6.695987374
203,7.385212657
204,7.253948757
205,7.143584362
206,6.735293259
207,6.944553319
208,6.797151173
209,7.076483743
210,6.867747845
211,7.202849989
212,6.919806970
213,7.006161490
214,6.950086375
215,6.819588336
216,6.937823771
217,7.101651772
218,6.793304495
219,7.013749629
220,7.234964484
221,6.895943519
222,6.952961717
223,6.993506486
224,7.009439787
225,6.943001524
226,6.986196389
227,6.937673117
228,7.035574262
229,7.124405156
230,6.837262205
231,6.933515886
232,6.949678127
233,7.054954803
234,6.914971177
235,7.134106375
236,7.035253280
237,6.855648408
238,6.903677095
239,7.026127530
240,7.037190999
241,6.995930179
242,6.940552731
243,7.073450381
244,6.975485587
245,7.025657044
246,7.000277144
247,6.953369057
248,7.009998378
249,7.190752040
250,7.058660273
251,6.967846107
252,6.937626206
253,7.127089643
254,6.897318147
255,7.002483836
256,6.921268666
257,7.187517399
258,6.982351557
259,6.927545176
260,6.996768497
261,7.022745706
262,7.000779786
263,6.960268142
264,7.185401316
265,7.016030089
266,7.077238882
267,7.143069163
268,7.024191084
269,7.009956668
270,6.928223555
271,7.149805503
272,7.457345117
273,6.907825055
274,7.089829761
275,7.070309353
276,7.020932872
277,7.191927250
278,7.129756903
279,7.085935082
280,6.923701531
281,7.052952166
282,7.446911138
283,7.278992041
284,7.137326021
285,7.150426652
286,7.077553215
287,7.194233196
288,7.083691141
289,7.114954078
290,7.513539513
291,7.276437195
292,7.155942386
293,7.370612333
294,6.985817213
295,7.026959780
296,7.468254377
297,7.056474538
298,7.328378209
299,7.009734847
300,7.102533127
301,7.110945662
302,7.656641457
303,6.862186872
304,7.224609110
305,6.965044659
306,7.401425016
307,7.470297779
308,6.937758089
309,7.115461644
310,7.230454223
311,7.069683790
312,7.420608730
313,7.039467887
314,7.415442452
315,7.516651533
316,7.093756399
317,6.870617702
318,6.934949384
319,7.763232181
320,6.664392681
321,7.025915283
322,8.278543859
323,7.025773088
324,7.819154039
325,6.946029149
326,7.411140801
327,6.943603268
328,7.466703013
329,7.455197441
330,7.748396634
331,8.238356218
332,6.985417094
333,8.047395181
334,6.801504781
335,7.316183011
336,7.042854379
337,7.332576317
338,7.200780582
339,7.598872911
340,6.446338712
341,6.426971306
342,6.443669704
343,6.490776709
344,6.490994718
345,6.483014020
346,6.529880613
347,6.569651576
348,6.578073125
349,6.532836666
350,6.535587300
351,6.558313471
352,6.555137428
353,6.580592623
354,6.663480354
355,6.602667825
356,6.569328045
357,6.662289107
358,6.623361023
359,6.691492298
360,6.689615155
361,6.673230064
362,6.574341426
363,6.680171352
364,6.662782010
365,6.696683296
366,6.728357020
367,6.682549441
368,6.699127763
369,6.786405405
370,6.732891498
371,6.771617774
372,6.749202193
373,6.697961439
374,6.676119971
375,6.681299603
376,6.694452527
377,6.725981440
